0	1	Q348260
0	4	Q187255
1	1	Q19597688
1	4	Q154869
1	5	Q663596
2	1	Q415343
2	4	Q187255
2	5	Q470517	Q206921
3	1	Q415264
3	4	Q223591
3	5	Q333718
4	1	Q412323
4	4	Q208414	Q29496	Q8084905
4	5	Q212646	Q899140
5	1	Q417317
5	5	Q158205
6	1	Q413299
6	4	Q12078
6	5	Q212646	Q899140
7	1	Q412616
7	4	Q128581
7	5	Q212646	Q899140
8	1	Q425681
8	4	Q467635	Q954625
8	5	Q842947
9	1	Q2502747
9	4	Q154869
9	5	Q663596
10	4	Q35869	Q199804
10	5	Q212322
11	1	Q415159
11	4	Q389735
11	5	Q731938
0	2	Q29005938
1	2	Q29005922
2	2	Q29005794
3	2	Q29006415
4	2	Q29006155	Q412323
5	2	Q29006109
6	2	Q413299
7	2	Q29005931
8	2	Q29006434
9	2	Q29006498
11	2	Q47521418